instance,gain_percent,prob,acopp_profit
pr107_05_usw_01_01,-0.687197,0.0023220275877483,34512.2
dsj1000_01_unc_10_03,-0.682534,0.0023198125847541,438273.0
eil51_05_usw_10_01,-0.676866,0.0023171201899501,74790.7
pr107_01_usw_01_02,-0.671566,0.0023146026013013,7892.0
eil51_10_unc_05_03,-0.661276,0.0023097146791888,170075.0
a280_03_bsc_05_03,-0.654551,0.0023065201917051,463901.0
pr107_03_unc_05_02,-0.648113,0.0023034620340219,89794.0
eil51_01_unc_10_03,-0.642663,0.0023008731928642,21265.7
a280_01_bsc_05_03,-0.630997,0.0022953316477365,163788.0
pr107_03_usw_01_01,-0.623325,0.0022916873194132,20449.5
a280_05_usw_01_03,-0.609619,0.002285176740164,115307.0
eil51_03_bsc_05_01,-0.608853,0.0022848128773517,68111.7
a280_03_bsc_01_02,-0.607263,0.0022840576007571,109782.0
pr107_01_usw_10_02,-0.603374,0.002282210260709,44041.2
a280_10_unc_10_03,-0.602009,0.0022815618628777,1260000.0
dsj1000_05_unc_05_03,-0.596071,0.0022787412135576,1750000.0
eil51_05_bsc_01_02,-0.593707,0.0022776182740169,34231.2
dsj1000_01_bsc_10_03,-0.587171,0.0022745135646945,963689.0
dsj1000_03_bsc_10_03,-0.575414,0.0022689287930447,2910000.0
a280_03_bsc_01_01,-0.570871,0.0022667707920576,102913.0
a280_03_unc_10_03,-0.568369,0.0022655823002087,365080.0
pr107_05_bsc_01_01,-0.561153,0.0022621545795125,63203.2
dsj1000_01_usw_10_03,-0.557867,0.0022605936745503,450956.0
dsj1000_05_usw_01_02,-0.556501,0.0022599448017023,399795.0
eil51_05_usw_01_03,-0.546964,0.0022554145671846,19507.7
a280_10_bsc_05_02,-0.546868,0.0022553689655789,1500000.0
eil51_05_unc_01_03,-0.541515,0.0022528262010436,36810.3
a280_05_usw_01_02,-0.537115,0.0022507361274484,111336.0
eil51_03_usw_10_02,-0.527316,0.0022460814385484,58870.4
eil51_10_bsc_10_02,-0.511431,0.0022385357978529,428875.0
a280_05_unc_01_03,-0.509867,0.0022377928716932,217292.0
a280_05_usw_10_03,-0.507111,0.0022364837255958,636600.0
dsj1000_03_unc_10_03,-0.499099,0.0022326778915856,1370000.0
pr107_01_bsc_10_01,-0.472016,0.0022198130135902,67857.8
a280_10_usw_10_02,-0.46421,0.0022161050330255,1110000.0
dsj1000_10_usw_10_03,-0.451925,0.0022102694525443,4730000.0
dsj1000_10_bsc_10_03,-0.448371,0.0022085812430994,9760000.0
pr107_10_usw_10_01,-0.436323,0.0022028582415823,295874.0
a280_10_usw_01_03,-0.43483,0.0022021490416101,230749.0
pr107_03_bsc_10_01,-0.425462,0.0021976990849192,217528.0
eil51_10_usw_01_03,-0.417182,0.0021937659464263,40390.0
dsj1000_01_bsc_05_01,-0.416014,0.0021932111268901,494654.0
pr107_05_bsc_05_01,-0.406508,0.002188695617891,242956.0
dsj1000_03_unc_05_02,-0.401678,0.0021864012871035,881634.0
eil51_03_bsc_10_03,-0.385736,0.0021788285704546,137598.0
eil51_03_usw_01_02,-0.378526,0.0021754036998587,10637.8
pr107_03_bsc_01_01,-0.372715,0.0021726433776629,39672.9
eil51_10_unc_01_01,-0.37057,0.0021716244667852,58414.5
dsj1000_03_bsc_01_01,-0.369551,0.0021711404247412,365524.0
eil51_03_usw_05_02,-0.367749,0.0021702844446006,43662.1
a280_10_unc_01_03,-0.364717,0.0021688441938868,440442.0
pr107_01_unc_10_01,-0.361439,0.0021672870890583,27123.0
pr107_03_unc_05_01,-0.350908,0.0021622846879148,68374.9
eil51_03_unc_10_02,-0.344852,0.002159407986621,56546.0
a280_03_usw_01_03,-0.336309,0.0021553499187292,69519.3
pr107_01_bsc_10_03,-0.33075,0.0021527093007483,97918.9
eil51_05_usw_05_02,-0.327626,0.0021512253484957,70171.4
eil51_03_usw_10_03,-0.327547,0.0021511878221743,67104.8
eil51_10_usw_05_03,-0.325719,0.0021503194915989,156822.0
eil51_10_bsc_05_02,-0.325132,0.0021500406567806,271664.0
dsj1000_05_unc_10_02,-0.322927,0.0021489932448993,1990000.0
eil51_10_unc_10_03,-0.315218,0.0021453313409571,217659.0
eil51_03_usw_01_03,-0.312962,0.0021442597032229,11503.0
eil51_03_unc_10_03,-0.307543,0.0021416855875836,62831.2
eil51_03_unc_01_01,-0.300475,0.0021383281693629,16950.9
a280_10_bsc_01_01,-0.295976,0.0021361910691118,340050.0
dsj1000_03_bsc_10_02,-0.292342,0.0021344648583288,2550000.0
pr107_01_bsc_05_03,-0.287194,0.0021320194722224,56814.2
pr107_03_usw_01_02,-0.287054,0.0021319529698807,24954.6
pr107_01_usw_05_03,-0.277487,0.0021274084848613,35893.6
eil51_05_usw_10_03,-0.275706,0.002126562480072,110359.0
eil51_05_bsc_05_02,-0.273252,0.0021253967890259,138749.0
dsj1000_05_unc_05_02,-0.272826,0.0021251944319005,1510000.0
a280_05_bsc_05_03,-0.270459,0.0021240700673096,768768.0
eil51_01_unc_05_01,-0.267583,0.0021227039192051,11946.5
eil51_10_usw_10_01,-0.259258,0.0021187494049596,146984.0
eil51_05_bsc_10_01,-0.253908,0.0021162080654745,179343.0
pr107_10_bsc_05_01,-0.248532,0.0021136543755545,471825.0
pr107_05_bsc_10_01,-0.246502,0.0021126900916003,349734.0
eil51_10_bsc_01_03,-0.239965,0.0021095849072612,70427.0
eil51_10_usw_10_03,-0.238285,0.0021087868791612,218590.0
pr107_05_usw_01_02,-0.229113,0.0021044300257486,41697.0
eil51_05_unc_10_02,-0.22677,0.0021033170615592,89841.2
eil51_03_bsc_05_02,-0.224422,0.0021022017222861,76552.3
a280_03_usw_01_02,-0.220043,0.0021001216240421,66986.9
a280_03_bsc_01_03,-0.219588,0.0020999054914317,115261.0
eil51_05_bsc_05_03,-0.21239,0.0020964863210365,143212.0
eil51_01_unc_10_02,-0.210508,0.0020955923395579,19571.7
eil51_05_unc_10_03,-0.203785,0.0020923988021077,101938.0
a280_10_bsc_05_03,-0.202356,0.002091720003206,1550000.0
dsj1000_05_bsc_05_02,-0.194754,0.0020881089260535,2680000.0
eil51_10_bsc_05_03,-0.193393,0.0020874624282891,280930.0
dsj1000_03_usw_05_03,-0.191526,0.0020865755720613,1020000.0
eil51_03_bsc_01_02,-0.186801,0.0020843311180301,19254.0
eil51_10_unc_05_02,-0.178743,0.0020805034332505,150476.0
dsj1000_05_unc_01_03,-0.175072,0.0020787596468486,787487.0
pr107_01_unc_10_03,-0.169574,0.002076148004888,45506.2
eil51_03_bsc_05_03,-0.160266,0.0020717265492007,79347.2
eil51_05_unc_05_02,-0.15865,0.0020709589221711,70595.5
dsj1000_01_bsc_01_03,-0.148969,0.0020663602852449,143207.0
dsj1000_01_bsc_01_01,-0.148969,0.0020663602852449,143207.0
dsj1000_01_bsc_01_02,-0.148829,0.0020662937829032,143207.0
pr107_05_unc_05_01,-0.145891,0.0020648981837617,118148.0
pr107_05_usw_05_01,-0.142943,0.0020634978344529,120445.0
pr107_01_usw_10_01,-0.140109,0.0020621516370509,33426.3
eil51_05_usw_01_01,-0.1347,0.0020595822715789,17075.0
eil51_05_usw_05_03,-0.125045,0.0020549959850875,78851.6
pr107_03_bsc_05_01,-0.115399,0.0020504139737467,150608.0
pr107_10_usw_10_03,-0.110565,0.0020481177428923,477878.0
dsj1000_03_unc_05_01,-0.109213,0.0020474755202785,745116.0
a280_05_bsc_01_01,-0.103855,0.0020449303806596,169531.0
dsj1000_10_usw_05_03,-0.103191,0.0020446149695534,3350000.0
pr107_10_usw_01_02,-0.101402,0.0020437651646302,84942.6
dsj1000_05_usw_05_02,-0.0955968,0.0020410075975314,1500000.0
dsj1000_03_unc_05_03,-0.0886634,0.002037714116562,1030000.0
eil51_10_bsc_05_01,-0.0623664,0.0020252226017134,246126.0
pr107_03_bsc_05_02,-0.0622137,0.0020251500666593,173970.0
pr107_01_bsc_05_02,-0.0608666,0.0020245101716275,54107.4
dsj1000_05_unc_05_01,-0.0603794,0.0020242787434785,1290000.0
a280_01_usw_10_03,-0.0575664,0.0020229425214277,129068.0
pr107_10_usw_01_01,-0.0571545,0.0020227468620382,73893.2
pr107_05_usw_10_03,-0.0514368,0.0020200308589029,236147.0
eil51_10_bsc_10_03,-0.0500387,0.002019366738018,482094.0
pr107_03_usw_05_03,-0.0430631,0.0020160532113428,103414.0
eil51_10_unc_05_01,-0.0388165,0.0020140360053133,120825.0
pr107_10_bsc_05_02,-0.0346712,0.0020120669184783,557715.0
dsj1000_10_bsc_01_03,-0.0295597,0.0020096388704823,1390000.0
eil51_03_unc_01_03,-0.0191452,0.0020046918087874,22111.7
pr107_01_bsc_01_03,-0.0167569,0.0020035573263403,15317.1
pr107_03_unc_10_03,-0.00900607,0.0019998755524484,137315.0
pr107_05_bsc_05_02,-0.00619884,0.0019985420712442,280698.0
eil51_01_usw_01_02,0.0,0.0019955975185612,3023.0
eil51_01_usw_01_03,0.0,0.0019955975185612,3425.0
pr107_01_usw_01_03,0.0,0.0019955975185612,8429.0
eil51_01_unc_01_01,0.0,0.0019955975185612,6242.0
eil51_01_unc_01_02,0.0,0.0019955975185612,7405.0
eil51_10_usw_05_01,0.0,0.0019955975185612,115770.0
eil51_03_usw_01_01,0.0,0.0019955975185612,9282.0
eil51_01_usw_01_01,0.0,0.0019955975185612,2425.0
pr107_01_usw_01_01,0.0,0.0019955975185612,5799.0
eil51_01_unc_01_03,0.0,0.0019955975185612,7986.0
pr107_10_usw_05_01,0.0156784,0.0019881500163213,246198.0
dsj1000_03_bsc_05_02,0.0172149,0.0019874201531215,1600000.0
dsj1000_05_bsc_10_02,0.0208872,0.0019856757491979,4250000.0
eil51_05_bsc_05_01,0.0214554,0.0019854058446941,124444.0
dsj1000_05_bsc_10_03,0.0241711,0.0019841158417708,4820000.0
pr107_03_unc_01_01,0.0260155,0.001983239720921,32032.2
dsj1000_05_usw_01_03,0.0309339,0.0019809033986549,411414.0
pr107_10_bsc_10_01,0.0348009,0.0019790665089748,677186.0
pr107_01_bsc_01_02,0.0370778,0.0019779849433909,14384.2
dsj1000_01_usw_01_03,0.0444733,0.0019744719571924,85669.4
dsj1000_01_usw_01_02,0.0444733,0.0019744719571924,85669.4
dsj1000_01_usw_01_01,0.0444733,0.0019744719571924,85669.4
dsj1000_03_unc_10_02,0.0488716,0.0019723826911256,1200000.0
dsj1000_05_usw_10_02,0.0568691,0.0019685837448579,2060000.0
eil51_05_bsc_10_02,0.0584106,0.0019678515065744,219994.0
pr107_03_usw_10_03,0.0669838,0.0019637790931775,146453.0
pr107_10_unc_10_03,0.0707679,0.0019619815823839,465889.0
eil51_10_bsc_01_02,0.0771171,0.001958965606186,67862.2
dsj1000_10_usw_10_01,0.0771276,0.0019589606185104,3370000.0
pr107_03_bsc_05_03,0.0772105,0.0019589212396238,181107.0
dsj1000_05_bsc_01_01,0.0886138,0.00195350448139,612884.0
pr107_10_unc_05_03,0.0961226,0.0019499376757964,356663.0
pr107_01_usw_10_03,0.0999698,0.0019481101914474,50448.6
pr107_03_bsc_10_02,0.101708,0.0019472845173739,265696.0
dsj1000_10_unc_01_01,0.109332,0.0019436629898535,1290000.0
pr107_05_bsc_05_03,0.111846,0.0019424687978038,293916.0
dsj1000_10_bsc_05_01,0.113747,0.0019415657910073,5250000.0
pr107_03_usw_10_02,0.114167,0.0019413662839823,121459.0
pr107_03_usw_01_03,0.120801,0.0019382150230208,25993.1
dsj1000_01_bsc_05_03,0.121819,0.0019377314559935,549257.0
dsj1000_01_usw_05_01,0.124271,0.0019365667149809,232933.0
pr107_01_unc_05_02,0.134006,0.0019319424271515,29401.6
pr107_10_bsc_01_03,0.134328,0.0019317894717656,146433.0
pr107_05_unc_10_03,0.145804,0.0019263381798159,237374.0
pr107_10_bsc_05_03,0.15485,0.0019220411785108,578989.0
pr107_10_bsc_10_02,0.161134,0.0019190561734034,838348.0
eil51_05_bsc_01_03,0.163671,0.0019178510559691,35335.2
eil51_03_bsc_01_03,0.170172,0.0019147629722321,19940.6
pr107_01_unc_01_01,0.18728,0.0019066363860805,8792.53
pr107_01_unc_05_03,0.198064,0.0019015138057052,34500.7
dsj1000_05_unc_10_03,0.198319,0.0019013926764401,2300000.0
pr107_03_bsc_10_03,0.217581,0.0018922429042602,314964.0
dsj1000_01_bsc_05_02,0.222267,0.0018900169758813,535183.0
eil51_05_unc_10_01,0.229126,0.0018867588361563,72216.5
dsj1000_10_unc_05_03,0.230389,0.0018861588900312,3580000.0
pr107_03_unc_05_03,0.232721,0.0018850511510257,105534.0
dsj1000_05_usw_10_03,0.235966,0.0018835097217492,2320000.0
pr107_03_unc_01_03,0.257298,0.0018733766649461,48931.6
dsj1000_03_bsc_01_02,0.265822,0.0018693276223721,383565.0
pr107_05_usw_01_03,0.267841,0.0018683685636019,43496.0
pr107_05_unc_05_03,0.275691,0.0018646396823013,180903.0
dsj1000_03_usw_10_03,0.277476,0.0018637917774451,1380000.0
pr107_05_usw_05_03,0.278933,0.001863099678075,167663.0
pr107_05_unc_01_03,0.286525,0.0018594933510898,82389.4
dsj1000_10_usw_01_03,0.292253,0.0018567724552822,838624.0
