instance,gain_percent,prob
eil51_05_usw_05_03,-0.125045,0.0020549959850875
pr107_03_bsc_05_01,-0.115399,0.0020504139737467
pr107_10_usw_10_03,-0.110565,0.0020481177428923
dsj1000_03_unc_05_01,-0.109213,0.0020474755202785
a280_05_bsc_01_01,-0.103855,0.0020449303806596
dsj1000_10_usw_05_03,-0.103191,0.0020446149695534
pr107_10_usw_01_02,-0.101402,0.0020437651646302
dsj1000_05_usw_05_02,-0.0955968,0.0020410075975314
dsj1000_03_unc_05_03,-0.0886634,0.002037714116562
eil51_10_bsc_05_01,-0.0623664,0.0020252226017134
pr107_03_bsc_05_02,-0.0622137,0.0020251500666593
pr107_01_bsc_05_02,-0.0608666,0.0020245101716275
dsj1000_05_unc_05_01,-0.0603794,0.0020242787434785
a280_01_usw_10_03,-0.0575664,0.0020229425214277
pr107_10_usw_01_01,-0.0571545,0.0020227468620382
pr107_05_usw_10_03,-0.0514368,0.0020200308589029
eil51_10_bsc_10_03,-0.0500387,0.002019366738018
pr107_03_usw_05_03,-0.0430631,0.0020160532113428
eil51_10_unc_05_01,-0.0388165,0.0020140360053133
pr107_10_bsc_05_02,-0.0346712,0.0020120669184783
dsj1000_10_bsc_01_03,-0.0295597,0.0020096388704823
eil51_03_unc_01_03,-0.0191452,0.0020046918087874
pr107_01_bsc_01_03,-0.0167569,0.0020035573263403
pr107_03_unc_10_03,-0.00900607,0.0019998755524484
pr107_05_bsc_05_02,-0.00619884,0.0019985420712442
eil51_01_usw_01_02,0.0,0.0019955975185612
eil51_01_usw_01_03,0.0,0.0019955975185612
pr107_01_usw_01_03,0.0,0.0019955975185612
eil51_01_unc_01_01,0.0,0.0019955975185612
eil51_01_unc_01_02,0.0,0.0019955975185612
eil51_10_usw_05_01,0.0,0.0019955975185612
eil51_03_usw_01_01,0.0,0.0019955975185612
eil51_01_usw_01_01,0.0,0.0019955975185612
pr107_01_usw_01_01,0.0,0.0019955975185612
eil51_01_unc_01_03,0.0,0.0019955975185612
pr107_10_usw_05_01,0.0156784,0.0019881500163213
dsj1000_03_bsc_05_02,0.0172149,0.0019874201531215
dsj1000_05_bsc_10_02,0.0208872,0.0019856757491979
eil51_05_bsc_05_01,0.0214554,0.0019854058446941
dsj1000_05_bsc_10_03,0.0241711,0.0019841158417708
pr107_03_unc_01_01,0.0260155,0.001983239720921
dsj1000_05_usw_01_03,0.0309339,0.0019809033986549
pr107_10_bsc_10_01,0.0348009,0.0019790665089748
pr107_01_bsc_01_02,0.0370778,0.0019779849433909
dsj1000_01_usw_01_03,0.0444733,0.0019744719571924
